1	14	1.103	1.652
1	15	1.775	1.668
1	16	2.364	1.693
1	19	0.307	0.899
1	21	1.707	0.874
1	22	2.282	0.862
1	25	0.249	0.179
1	26	0.977	0.13
1	28	2.658	0.015
2	7	-2.286	0.107
2	8	-2.389	0.843
2	9	-2.491	1.511
2	10	-2.575	2.091
2	13	-1.547	0.109
2	14	-1.611	0.837
2	15	-1.672	1.498
2	16	-1.734	2.077
2	19	-0.805	0.107
2	20	-0.84	0.825
2	21	-0.876	1.49
2	22	-0.905	2.058
2	25	-0.085	0.106
2	26	-0.086	0.832
3	14	-0.795	-1.745
3	15	-1.459	-1.797
3	16	-2.041	-1.849
3	19	-0.045	-0.943
3	25	-0.028	-0.216
3	28	-2.404	-0.182
4	8	-1.056	2.123
4	14	-1.042	1.47
4	15	-0.538	1.513
4	16	-0.114	1.551
4	17	0.439	1.599
4	18	1.031	1.652
4	20	-1.028	0.821
4	21	-0.525	0.843
4	22	-0.105	0.866
4	23	0.444	0.895
4	24	1.033	0.935
4	26	-1.007	0.181
4	28	0.222	0.202
5	2	-2.735	-1.197
5	3	-2.802	-0.684
5	4	-2.856	-0.254
5	8	-2.061	-1.182
5	9	-2.11	-0.676
5	10	-2.153	-0.248
5	11	-2.204	0.309
5	12	-2.266	0.905
5	14	-1.401	-1.174
5	15	-1.433	-0.668
5	16	-1.461	-0.244
5	17	-1.496	0.308
5	18	-1.54	0.896
5	20	-0.748	-1.167
5	21	-0.761	-0.662
5	22	-0.773	-0.241
5	23	-0.791	0.304
5	24	-0.819	0.888
5	28	-0.104	0.078
6	14	1.194	-1.524
6	15	0.692	-1.562
6	16	0.268	-1.596
6	17	-0.283	-1.636
6	18	-0.873	-1.684
6	20	1.186	-0.87
6	21	0.684	-0.888
6	22	0.264	-0.903
6	23	-0.282	-0.926
6	24	-0.865	-0.957
6	28	-0.057	-0.233
